id,age.cat,gender,area,veh.make,veh.body,veh.age,claim,num.claims,tot.cost
9148445,3,F,C,B,HBACK,4,0,0,0
215579,4,F,C,B,HBACK,3,0,0,0
5178725,4,M,D,D,TRUCK,3,1,1,815.2999992
6922451,3,F,A,C,UTE,1,0,0,0
8670030,2,F,A,D,RDSTR,2,0,0,0
1706691,2,M,B,D,SEDAN,2,0,0,0
3887260,5,F,B,C,STNWG,1,0,0,0
1696377,5,F,D,D,STNWG,1,0,0,0
4452017,1,M,B,D,UTE,2,0,0,0
5413844,3,F,B,D,HBACK,2,0,0,0
2117919,3,M,D,D,STNWG,4,0,0,0
885693,3,M,B,D,HBACK,3,0,0,0
4623716,2,F,F,D,SEDAN,2,1,2,5142.773624
204003,3,F,B,D,STNWG,3,1,1,1180.109999
6225219,1,M,D,D,STNWG,4,0,0,0
3933619,3,M,B,C,STNWG,1,0,0,0
7199684,3,M,C,B,HBACK,2,0,0,0
9885209,2,M,C,D,STNWG,1,0,0,0
5226718,4,M,D,D,STNWG,2,0,0,0
3273085,3,M,B,D,STNWG,4,0,0,0
3565449,3,M,D,C,UTE,2,0,0,0
1289798,4,F,E,D,SEDAN,4,0,0,0
685504,4,F,A,C,SEDAN,2,0,0,0
2999263,1,F,A,A,SEDAN,4,0,0,0
9935571,2,F,C,D,STNWG,3,1,1,922.4299984
9563531,2,F,D,D,MIBUS,4,0,0,0
9544968,2,F,B,D,HBACK,2,0,0,0
1892366,1,F,C,B,HBACK,3,0,0,0
9484278,6,F,A,D,SEDAN,2,0,0,0
499336,3,M,A,B,HBACK,4,0,0,0
6177463,2,F,F,C,STNWG,2,0,0,0
2385830,4,F,A,C,HBACK,2,0,0,0
6684898,2,F,C,D,STNWG,2,0,0,0
3307125,2,F,B,D,HBACK,3,0,0,0
9816851,6,F,A,D,HBACK,4,0,0,0
6799737,6,F,B,B,HBACK,3,0,0,0
1385643,4,M,C,D,STNWG,3,0,0,0
5183594,3,F,F,D,STNWG,2,0,0,0
1512784,3,F,C,D,STNWG,4,0,0,0
2549453,6,M,B,D,SEDAN,4,0,0,0
6112492,2,F,C,B,HBACK,4,0,0,0
9216981,4,M,D,C,UTE,4,0,0,0
3301840,3,F,A,D,SEDAN,2,0,0,0
1312252,4,F,B,D,HBACK,3,0,0,0
541835,3,M,A,C,STNWG,4,0,0,0
1513032,4,F,D,D,SEDAN,4,0,0,0
8768849,6,F,C,B,HBACK,2,0,0,0
8061366,3,F,B,D,HDTOP,1,1,1,337.0999999
769121,4,F,B,C,HBACK,1,0,0,0
4781829,4,F,D,D,HBACK,2,0,0,0
9497362,2,M,D,D,STNWG,4,0,0,0
9484148,4,F,A,D,SEDAN,4,0,0,0
8045923,3,F,B,D,SEDAN,2,0,0,0
8659149,3,F,A,D,SEDAN,4,0,0,0
7058348,2,F,A,D,HBACK,3,0,0,0
686996,4,M,B,D,SEDAN,4,0,0,0
8818687,1,M,C,D,STNWG,1,0,0,0
9084389,6,F,A,D,SEDAN,3,0,0,0
1132075,4,F,D,C,STNWG,2,0,0,0
2747129,4,F,B,C,SEDAN,2,0,0,0
7833297,6,F,C,D,SEDAN,1,0,0,0
9012586,5,M,C,D,HDTOP,2,0,0,0
3627215,2,M,E,C,SEDAN,3,0,0,0
9972833,4,F,B,D,SEDAN,3,0,0,0
6067505,5,F,B,D,HBACK,3,0,0,0
484386,5,F,B,B,HBACK,1,0,0,0
6457278,3,M,D,C,STNWG,3,0,0,0
775590,6,F,A,D,SEDAN,3,0,0,0
3009007,4,M,B,D,STNWG,4,1,1,353.77
605870,3,M,A,D,SEDAN,3,0,0,0
4260280,5,M,C,C,STNWG,2,0,0,0
3335305,4,F,D,D,SEDAN,3,1,1,3997.609993
3005848,6,F,C,D,SEDAN,3,0,0,0
3004090,1,M,E,D,TRUCK,4,0,0,0
454053,1,F,A,B,HBACK,3,0,0,0
6435199,2,M,A,D,STNWG,4,1,1,1044.699999
3624775,3,F,B,D,COUPE,4,0,0,0
5804753,1,F,E,B,HBACK,2,0,0,0
7864945,6,M,D,B,HBACK,4,0,0,0
837542,6,M,D,D,UTE,4,0,0,0
212483,4,F,A,B,HBACK,1,0,0,0
8956394,2,M,F,D,UTE,4,0,0,0
2046189,5,F,C,D,STNWG,4,0,0,0
9450750,2,F,A,D,STNWG,2,0,0,0
2541507,5,M,B,C,SEDAN,4,0,0,0
6905159,2,F,C,B,HBACK,2,0,0,0
6064617,5,F,E,C,UTE,1,0,0,0
8085765,6,M,D,D,STNWG,2,0,0,0
4294787,3,M,E,D,STNWG,2,0,0,0
1027382,4,F,B,D,SEDAN,3,0,0,0
6808029,2,F,A,B,STNWG,3,0,0,0
2664347,4,F,F,C,STNWG,2,0,0,0
3531474,3,F,E,C,SEDAN,1,0,0,0
7182160,6,M,B,D,STNWG,4,0,0,0
5092134,4,F,C,D,HBACK,1,0,0,0
3905204,2,M,C,C,STNWG,4,0,0,0
8571864,3,F,C,D,SEDAN,3,0,0,0
8800595,2,M,E,D,HBACK,1,0,0,0
3591921,3,F,A,B,HBACK,1,0,0,0
4030451,4,F,C,D,STNWG,3,0,0,0
7680332,1,F,B,D,SEDAN,3,0,0,0
3220709,1,M,A,D,HBACK,3,1,1,4450.039978
1388622,5,F,B,D,STNWG,4,0,0,0
1133164,2,F,B,D,HBACK,4,0,0,0
5636879,3,M,B,D,SEDAN,4,0,0,0
8999279,6,F,C,C,SEDAN,4,0,0,0
112935,1,F,C,D,SEDAN,4,0,0,0
180861,6,F,C,D,SEDAN,3,0,0,0
8935686,2,F,F,C,SEDAN,2,0,0,0
4705777,3,M,C,B,HBACK,4,1,1,218.360004
8089383,3,F,D,B,HBACK,3,0,0,0
2276412,1,F,A,B,HBACK,2,0,0,0
6112837,5,M,A,B,HBACK,2,0,0,0
3413723,4,F,A,D,SEDAN,1,0,0,0
4822428,5,M,B,B,HBACK,4,0,0,0
7104889,3,F,B,D,HBACK,3,0,0,0
8247770,5,F,B,D,SEDAN,2,0,0,0
4078703,1,M,A,C,STNWG,4,0,0,0
691679,1,F,D,C,SEDAN,2,0,0,0
2561346,2,F,A,D,SEDAN,2,0,0,0
7841945,1,F,C,B,HBACK,1,0,0,0
6111150,5,M,B,D,STNWG,3,0,0,0
2063158,3,F,C,D,SEDAN,2,0,0,0
487353,6,F,B,D,HBACK,4,0,0,0
5683308,1,M,C,C,HBACK,4,0,0,0
5224420,2,M,B,D,SEDAN,2,0,0,0
2346129,2,F,F,C,STNWG,3,0,0,0
8158989,2,F,A,B,HBACK,2,0,0,0
3116340,2,F,C,B,HBACK,1,0,0,0
617652,6,M,A,D,STNWG,1,0,0,0
1947949,4,F,E,B,SEDAN,4,0,0,0
6654919,2,F,E,D,STNWG,4,0,0,0
6364898,4,M,C,D,SEDAN,4,0,0,0
2422887,3,F,C,D,STNWG,4,0,0,0
9961288,3,F,B,D,HBACK,3,0,0,0
543187,4,F,A,B,SEDAN,3,0,0,0
2050841,4,F,A,B,HBACK,3,0,0,0
2852201,3,F,B,C,HBACK,3,0,0,0
1622286,6,F,A,B,HBACK,3,0,0,0
1926694,1,M,E,D,HDTOP,4,0,0,0
6846455,6,M,E,D,SEDAN,2,0,0,0
7213665,5,F,A,B,HBACK,3,0,0,0
9503660,3,M,C,D,STNWG,4,1,1,1308.549999
1253825,3,M,B,D,SEDAN,3,0,0,0
5883911,5,F,C,B,SEDAN,3,0,0,0
7397847,2,M,C,D,HBACK,2,0,0,0
401827,5,M,A,B,HBACK,4,0,0,0
5645383,5,F,C,B,SEDAN,3,1,1,450
3790785,1,M,A,D,STNWG,4,0,0,0
2054262,3,F,C,D,SEDAN,4,0,0,0
3583362,5,M,E,D,PANVN,4,0,0,0
444965,3,F,C,B,HBACK,2,0,0,0
1675226,4,F,C,D,HBACK,3,0,0,0
8394102,3,M,A,C,STNWG,2,0,0,0
8650556,4,M,C,C,UTE,4,0,0,0
657086,3,M,B,D,SEDAN,4,0,0,0
745071,5,F,B,D,HBACK,3,0,0,0
3166512,4,M,A,D,STNWG,4,0,0,0
6391293,4,F,C,B,HBACK,2,0,0,0
2118980,1,M,E,D,UTE,3,0,0,0
6478082,6,M,C,B,HBACK,3,0,0,0
2668969,3,M,B,D,HBACK,2,0,0,0
1502562,2,F,F,B,HBACK,3,0,0,0
6283816,3,M,D,D,STNWG,2,0,0,0
2840060,5,M,B,D,TRUCK,4,0,0,0
6208228,3,F,C,D,STNWG,1,0,0,0
9132369,2,M,E,C,STNWG,3,0,0,0
6860600,3,F,E,C,STNWG,3,0,0,0
6794993,3,F,B,B,SEDAN,3,0,0,0
6898525,6,F,F,D,STNWG,2,1,2,3321.23
9101175,3,M,B,B,STNWG,2,0,0,0
5026376,4,F,C,D,SEDAN,1,0,0,0
4933589,3,M,A,D,SEDAN,3,0,0,0
5538672,5,F,D,D,HBACK,4,0,0,0
8250668,3,F,D,B,HBACK,3,0,0,0
7137474,5,M,A,D,STNWG,3,0,0,0
5685862,6,F,A,B,HBACK,4,0,0,0
3044901,2,M,C,D,UTE,4,0,0,0
4191735,3,F,E,D,STNWG,4,0,0,0
4803277,3,F,B,C,STNWG,4,0,0,0
8757823,3,F,D,D,UTE,3,1,2,2398.549998
1089844,4,F,C,D,HBACK,2,0,0,0
4063579,5,F,B,D,HBACK,2,0,0,0
9111611,3,F,C,D,SEDAN,4,0,0,0
5329677,5,F,C,D,HBACK,3,0,0,0
3687763,1,M,A,D,MIBUS,3,0,0,0
4199103,1,F,C,D,HBACK,1,0,0,0
7474534,3,M,B,D,STNWG,1,0,0,0
1390536,2,F,B,B,SEDAN,3,0,0,0
5417084,2,F,A,A,SEDAN,4,0,0,0
6053196,3,F,B,D,SEDAN,3,0,0,0
9442783,3,F,A,D,STNWG,3,0,0,0
3622612,6,F,B,B,HBACK,2,0,0,0
5300591,3,M,C,B,HBACK,1,0,0,0
9867421,5,F,C,C,HBACK,4,0,0,0
8744165,3,F,E,D,STNWG,4,0,0,0
4259849,4,F,A,D,SEDAN,4,0,0,0
3833329,5,M,D,C,STNWG,4,0,0,0
7162063,4,F,C,C,STNWG,4,0,0,0
1172263,2,F,D,D,HBACK,2,0,0,0
5006161,5,M,A,D,HBACK,4,0,0,0
88874,5,M,A,C,STNWG,1,0,0,0
1209832,4,F,E,D,SEDAN,3,1,1,390
8280915,2,F,A,B,SEDAN,2,0,0,0
4681889,5,F,A,D,SEDAN,3,0,0,0
1511141,4,M,A,D,HDTOP,3,0,0,0
5925121,6,F,C,B,HBACK,3,0,0,0
3549075,5,M,D,B,SEDAN,2,0,0,0
262183,2,F,A,D,SEDAN,3,0,0,0
7182676,4,F,B,D,STNWG,3,0,0,0
3990022,6,M,A,C,SEDAN,3,0,0,0
6738645,5,F,C,C,SEDAN,4,0,0,0
3029815,5,F,D,D,SEDAN,4,0,0,0
8608989,5,M,C,D,HBACK,1,0,0,0
9013059,6,M,E,D,UTE,4,0,0,0
491547,5,F,B,D,SEDAN,2,0,0,0
8276554,3,F,A,D,STNWG,4,0,0,0
4339767,4,F,C,D,SEDAN,2,0,0,0
36262,1,M,E,D,STNWG,3,1,1,407.8399997
2342322,6,F,B,D,SEDAN,4,0,0,0
5533050,2,M,F,D,HDTOP,3,0,0,0
9477775,6,F,A,D,SEDAN,3,0,0,0
6015238,2,M,E,D,UTE,4,0,0,0
8296790,4,M,D,C,UTE,4,0,0,0
8407759,4,F,B,B,SEDAN,4,0,0,0
6531335,4,F,C,D,HBACK,4,0,0,0
8820423,4,M,F,D,HDTOP,3,0,0,0
3710518,2,M,F,C,UTE,1,0,0,0
8673980,1,F,C,B,HBACK,2,0,0,0
7724019,4,F,A,D,STNWG,1,0,0,0
4688271,6,M,A,D,SEDAN,3,0,0,0
5865600,3,F,C,D,HBACK,4,0,0,0
45637,3,F,B,D,HBACK,2,0,0,0
2918707,5,M,C,B,SEDAN,2,0,0,0
5516128,4,F,E,C,STNWG,3,0,0,0
4324657,6,F,B,D,SEDAN,2,0,0,0
1024597,6,F,C,B,HBACK,1,0,0,0
5329886,5,M,A,C,STNWG,3,0,0,0
3485854,3,M,B,B,SEDAN,3,0,0,0
7868372,4,F,E,C,UTE,1,0,0,0
8749886,2,M,C,D,HDTOP,4,0,0,0
1258497,3,F,D,D,TRUCK,3,0,0,0
8656147,3,F,C,D,HBACK,1,0,0,0
9860964,2,M,F,C,STNWG,2,1,1,390
9432856,1,F,A,D,STNWG,3,0,0,0
259286,4,F,C,B,HBACK,4,0,0,0
9757934,3,F,E,B,SEDAN,2,1,1,1742.339996
1014304,3,M,A,C,STNWG,1,0,0,0
2792112,4,F,C,B,HBACK,3,0,0,0
3930711,4,F,A,C,SEDAN,3,0,0,0
9187986,2,F,C,D,HBACK,4,0,0,0
9627973,6,M,C,D,HBACK,2,0,0,0
7409354,2,F,A,D,SEDAN,1,0,0,0
6166278,3,F,B,D,STNWG,3,0,0,0
7868041,4,F,B,B,HBACK,3,0,0,0
1368457,2,M,B,B,SEDAN,1,0,0,0
7474405,4,F,C,B,HBACK,1,0,0,0
6047360,2,F,E,D,STNWG,3,0,0,0
2741291,3,M,A,A,SEDAN,1,0,0,0
1897616,4,F,A,C,STNWG,4,1,1,200
6062900,5,F,A,D,HBACK,4,0,0,0
6835916,6,M,C,D,SEDAN,4,0,0,0
7452215,2,M,C,C,TRUCK,4,0,0,0
5262896,4,F,C,C,HBACK,4,0,0,0
1274340,6,F,C,D,SEDAN,1,0,0,0
4001888,5,M,C,D,STNWG,2,0,0,0
5153215,3,M,C,D,STNWG,4,1,2,3452.169998
8094431,4,F,A,D,SEDAN,3,0,0,0
4125153,5,F,C,D,STNWG,2,0,0,0
2665952,4,F,E,B,SEDAN,1,0,0,0
494845,4,F,C,D,SEDAN,3,0,0,0
130674,3,M,A,B,HBACK,2,0,0,0
9369163,5,M,A,D,SEDAN,4,1,1,1044.969999
6925870,5,F,A,D,STNWG,1,0,0,0
158628,2,F,A,D,STNWG,4,0,0,0
6180613,2,M,B,D,HBACK,2,0,0,0
6851296,1,F,C,D,HBACK,4,0,0,0
9870957,2,M,A,D,STNWG,2,0,0,0
3649064,2,F,D,C,STNWG,3,0,0,0
77868,1,M,C,D,SEDAN,3,0,0,0
5545443,4,F,B,C,SEDAN,1,0,0,0
3725061,5,F,A,C,STNWG,3,1,2,2926.199993
2602689,3,M,C,D,SEDAN,4,0,0,0
8102926,4,M,A,C,STNWG,1,0,0,0
8624854,3,F,E,C,STNWG,4,0,0,0
9413990,3,M,B,C,SEDAN,4,0,0,0
6932669,5,F,D,D,HBACK,1,0,0,0
6037086,4,F,B,B,HBACK,1,0,0,0
5124859,2,F,D,D,SEDAN,4,0,0,0
3881162,4,M,B,D,COUPE,4,1,1,370.5699997
3825199,2,M,F,D,UTE,4,0,0,0
9383393,4,M,B,D,SEDAN,1,1,1,200.0000049
3217777,4,M,E,D,MIBUS,3,0,0,0
8463567,3,M,E,D,STNWG,4,0,0,0
7555302,5,F,A,B,SEDAN,3,0,0,0
9405545,4,F,C,D,SEDAN,2,0,0,0
8444462,4,F,A,D,MIBUS,4,0,0,0
1344068,4,M,A,B,HBACK,1,0,0,0
6858005,4,M,D,C,STNWG,3,0,0,0
7694115,3,F,A,D,HBACK,4,0,0,0
430155,4,F,C,D,SEDAN,3,0,0,0
1828384,3,M,A,D,HBACK,3,0,0,0
3153815,3,F,C,C,STNWG,4,1,1,413.1799998
9324111,6,M,E,D,SEDAN,3,0,0,0
1675340,4,F,C,D,SEDAN,1,0,0,0
4500173,5,F,D,B,SEDAN,4,0,0,0
3521874,5,F,B,D,SEDAN,2,0,0,0
9731291,6,F,C,C,SEDAN,2,0,0,0
4480452,6,M,A,D,HBACK,4,0,0,0
1637818,4,M,B,D,STNWG,4,0,0,0
7771227,6,M,D,D,TRUCK,4,0,0,0
9588578,3,F,A,B,HBACK,4,0,0,0
6132009,4,F,C,D,HBACK,3,0,0,0
445293,3,F,F,D,UTE,4,0,0,0
9106178,4,F,D,D,SEDAN,4,0,0,0
8300492,3,F,B,C,SEDAN,3,0,0,0
2643557,5,F,D,D,SEDAN,2,0,0,0
3488714,4,F,A,D,SEDAN,3,0,0,0
8531897,3,M,A,C,STNWG,1,0,0,0
8562837,3,F,A,B,SEDAN,3,0,0,0
4752387,3,M,A,D,HBACK,4,0,0,0
8618769,1,F,A,B,HBACK,2,0,0,0
2956889,2,M,B,D,UTE,3,0,0,0
2002880,4,M,B,B,HBACK,1,0,0,0
6024375,5,M,C,D,SEDAN,2,0,0,0
711237,4,M,A,D,STNWG,4,1,1,3087.399994
7827017,3,F,C,B,HBACK,3,0,0,0
3157864,3,F,A,D,SEDAN,3,0,0,0
8604426,5,F,C,D,STNWG,1,1,1,1767.169998
9106898,4,F,A,B,SEDAN,4,1,1,3964.799995
3163351,2,F,B,B,HBACK,2,0,0,0
1197032,3,F,C,C,HBACK,4,0,0,0
2662445,5,F,B,C,SEDAN,3,0,0,0
6582389,1,M,D,D,UTE,3,0,0,0
3624637,6,F,D,C,SEDAN,3,0,0,0
101157,5,F,E,D,SEDAN,3,0,0,0
3865274,6,M,B,D,STNWG,4,0,0,0
2724143,2,F,B,C,SEDAN,4,0,0,0
7103120,4,M,A,D,STNWG,1,0,0,0
6066402,6,F,B,B,SEDAN,3,0,0,0
1682033,2,F,A,C,SEDAN,2,1,2,400
7243938,5,M,D,B,SEDAN,3,0,0,0
6143530,3,M,C,D,SEDAN,3,0,0,0
6523225,3,F,D,D,SEDAN,3,0,0,0
9096585,6,F,A,B,HBACK,2,0,0,0
3156473,3,F,C,C,HBACK,4,0,0,0
6290841,3,F,C,B,SEDAN,4,0,0,0
6922449,5,M,A,D,SEDAN,2,0,0,0
8503422,3,F,A,C,HBACK,4,0,0,0
4076604,3,F,A,D,SEDAN,4,0,0,0
3211477,4,F,B,D,SEDAN,2,0,0,0
1442009,3,F,B,D,SEDAN,2,0,0,0
5696499,4,M,A,A,SEDAN,3,0,0,0
4133249,5,F,C,D,HBACK,1,0,0,0
3624659,4,M,C,C,STNWG,3,0,0,0
8902628,4,M,F,C,STNWG,3,0,0,0
6113250,5,M,A,B,HBACK,1,0,0,0
1203583,6,F,B,C,HBACK,4,0,0,0
2532924,6,F,C,C,SEDAN,4,0,0,0
1064828,3,M,A,D,STNWG,3,0,0,0
6242855,2,F,C,B,HBACK,1,0,0,0
5286915,3,M,E,C,TRUCK,3,0,0,0
281170,4,M,B,D,STNWG,4,0,0,0
9320764,2,M,F,D,STNWG,2,1,1,520.7299995
9973270,5,F,B,D,HBACK,4,0,0,0
4265678,4,M,C,D,HBACK,4,0,0,0
1638938,4,F,F,D,STNWG,4,0,0,0
6503648,3,F,B,B,HBACK,1,0,0,0
1926493,5,F,B,B,HBACK,4,0,0,0
5068997,2,F,C,D,HBACK,1,0,0,0
7788261,4,F,B,D,SEDAN,4,0,0,0
8442264,3,M,C,C,SEDAN,3,0,0,0
3565562,2,M,C,D,STNWG,4,0,0,0
2606577,4,F,C,D,SEDAN,2,0,0,0
8544132,5,M,C,A,SEDAN,4,0,0,0
9497612,6,F,A,B,SEDAN,1,0,0,0
7525470,2,F,A,A,SEDAN,2,0,0,0
1684872,6,F,D,B,HBACK,2,0,0,0
3086244,5,F,B,B,HBACK,1,0,0,0
6654425,3,M,B,D,STNWG,3,0,0,0
4955488,1,F,C,C,SEDAN,4,0,0,0
4198487,2,M,B,D,STNWG,2,0,0,0
8029937,4,M,D,C,STNWG,2,0,0,0
317273,2,M,F,B,SEDAN,2,0,0,0
8629164,4,F,C,D,SEDAN,4,1,1,813.6019993
2017581,3,F,A,D,SEDAN,4,1,1,558.1499996
2990963,3,M,B,D,UTE,2,0,0,0
6290374,2,F,A,D,SEDAN,4,0,0,0
8334308,1,M,B,D,SEDAN,3,0,0,0
4188782,5,F,C,D,SEDAN,3,0,0,0
7672019,4,F,B,B,HBACK,3,0,0,0
6960239,3,F,A,B,SEDAN,3,0,0,0
9545564,3,M,C,D,SEDAN,1,0,0,0
6357055,4,F,B,D,SEDAN,1,0,0,0
1702914,4,F,B,B,HBACK,2,0,0,0
7487699,2,M,A,D,HBACK,4,0,0,0
1408244,3,F,B,B,SEDAN,2,0,0,0
5956350,2,F,F,D,STNWG,3,0,0,0
4480590,5,F,E,B,HBACK,1,0,0,0
7710093,4,M,C,D,SEDAN,1,0,0,0
6094387,3,F,C,D,HBACK,2,0,0,0
3156908,1,F,D,D,SEDAN,2,0,0,0
9034036,2,F,C,B,HBACK,2,0,0,0
9302000,2,M,B,D,SEDAN,1,0,0,0
2226865,5,F,A,B,HBACK,4,0,0,0
5760894,2,F,F,C,STNWG,1,0,0,0
8449637,1,M,B,B,HBACK,1,0,0,0
6735371,5,M,B,D,SEDAN,1,0,0,0
2478119,6,F,D,A,SEDAN,4,0,0,0
694067,4,F,C,D,HBACK,3,0,0,0
6038091,4,F,C,A,HBACK,1,0,0,0
9187182,2,F,C,D,SEDAN,4,0,0,0
3398719,2,F,E,D,TRUCK,3,0,0,0
1438240,3,M,A,D,HBACK,3,0,0,0
2653658,4,F,C,D,HBACK,1,0,0,0
7653050,5,F,B,D,HBACK,2,0,0,0
